#,apiName,apiMethod,apiPath,apiInputsFile,toBeValidated,Module,fileType,payloadJSON,expectedJSON,consentPerson,scenario,mysql
79,Validate_RCF_PostActivationValidation_Ten,NA,NA,Validate_RCF_PostActivationValidation_Ten.csv,n,Lifecycle,json,Validate_RCF_PostActivationValidation_Ten.json,Validate_RCF_PostActivationValidation_Ten.json,Naveen,y,n
80,Validate_RCF_FeeUndo,NA,NA,Validate_RCF_FeeUndo.csv,n,Lifecycle,json,Validate_RCF_FeeUndo.json,Validate_RCF_FeeUndo.json,Naveen,y,n
81,Validate_RCF_DisbursalUndo,NA,NA,Validate_RCF_DisbursalUndo.csv,n,Lifecycle,json,Validate_RCF_DisbursalUndo.json,Validate_RCF_DisbursalUndo.json,Naveen,y,n
82,Validate_RCF_Disbursal,NA,NA,Validate_RCF_Disbursal.csv,n,Lifecycle,json,Validate_RCF_Disbursal.json,Validate_RCF_Disbursal.json,Naveen,y,n
83,Validate_RCF_PrePayment_Pay,NA,NA,Validate_RCF_PrePayment_Pay.csv,n,Lifecycle,json,Validate_RCF_PrePayment_Pay.json,Validate_RCF_PrePayment_Pay.json,Naveen,y,n
84,Validate_RCF_Closure,NA,NA,Validate_RCF_Closure.csv,n,Lifecycle,json,Validate_RCF_Closure.json,Validate_RCF_Closure.json,Naveen,y,n
85,Validate_RCF_Restructure_Amount,NA,NA,Validate_RCF_Restructure_Amount.csv,n,Lifecycle,json,Validate_RCF_Restructure_Amount.json,Validate_RCF_Restructure_Amount.json,Naveen,y,n
86,Validate_RCF_Restructure_InterestRate,NA,NA,Validate_RCF_Restructure_InterestRate.csv,n,Lifecycle,json,Validate_RCF_Restructure_InterestRate.json,Validate_RCF_Restructure_InterestRate.json,Naveen,y,n
87,Validate_RCF_Penalty_OutstandingPrincipal,NA,NA,Validate_RCF_Penalty_OutstandingPrincipal.csv,n,Lifecycle,json,Validate_RCF_Penalty_OutstandingPrincipal.json,Validate_RCF_Penalty_OutstandingPrincipal.json,Naveen,y,n
88,Validate_RCF_Penalty_OverduePrincipal,NA,NA,Validate_RCF_Penalty_OverduePrincipal.csv,n,Lifecycle,json,Validate_RCF_Penalty_OverduePrincipal.json,Validate_RCF_Penalty_OverduePrincipal.json,Naveen,y,n
